,game_name,platform,year_of_release,genre,na_sales,eu_sales,ru_sales,other_sales,critic_score,user_score,rating_type,total_sales,descryption
0,wii sports,wii,2006,sports,41.36,28.96,3.77,8.45,76.0,8.0,e,82.53999999999999,для всех
1,mario kart wii,wii,2008,racing,15.68,12.76,3.79,3.29,82.0,8.3,e,35.519999999999996,для всех
2,wii sports resort,wii,2009,sports,15.61,10.93,3.28,2.95,80.0,8.0,e,32.77,для всех
3,new super mario bros.,ds,2006,platform,11.28,9.14,6.5,2.88,89.0,8.5,e,29.8,для всех
4,wii play,wii,2006,misc,13.96,9.18,2.93,2.84,58.0,6.6,e,28.91,для всех
5,new super mario bros. wii,wii,2009,platform,14.44,6.94,4.7,2.24,87.0,8.4,e,28.32,для всех
6,mario kart ds,ds,2005,racing,9.71,7.47,4.13,1.9,91.0,8.6,e,23.209999999999997,для всех
7,wii fit,wii,2007,sports,8.92,8.03,3.6,2.15,80.0,7.7,e,22.7,для всех
8,kinect adventures!,x360,2010,misc,15.0,4.89,0.24,1.69,61.0,6.3,e,21.82,для всех
9,wii fit plus,wii,2009,sports,9.01,8.49,2.53,1.77,80.0,7.4,e,21.8,для всех
10,brain age: train your brain in minutes a day,ds,2005,misc,4.74,9.2,4.16,2.04,77.0,7.9,e,20.14,для всех
11,brain age 2: more training in minutes a day,ds,2005,puzzle,3.43,5.35,5.32,1.18,77.0,7.1,e,15.28,для всех
12,gran turismo 3: a-spec,ps2,2001,racing,6.85,5.09,1.87,1.16,95.0,8.4,e,14.969999999999999,для всех
13,mario kart 7,3ds,2011,racing,5.03,4.02,2.69,0.91,85.0,8.2,e,12.65,для всех
14,animal crossing: wild world,ds,2005,simulation,2.5,3.45,5.33,0.86,86.0,8.7,e,12.14,для всех
15,gran turismo 4,ps2,2004,racing,3.01,0.01,1.1,7.53,89.0,8.5,e,11.649999999999999,для всех
16,super mario galaxy,wii,2007,platform,6.06,3.35,1.2,0.74,97.0,8.9,e,11.35,для всех
17,gran turismo,ps,1997,racing,4.02,3.87,2.54,0.52,96.0,8.7,e,10.95,для всех
18,super mario 3d land,3ds,2011,platform,4.89,3.0,2.14,0.78,90.0,8.4,e,10.809999999999999,для всех
19,gran turismo 5,ps3,2010,racing,2.96,4.82,0.81,2.11,84.0,7.5,e,10.7,для всех
20,new super mario bros. 2,3ds,2012,platform,3.66,3.14,2.47,0.63,78.0,7.2,e,9.900000000000002,для всех
21,animal crossing: new leaf,3ds,2012,simulation,2.03,2.36,4.39,0.39,88.0,8.7,e,9.17,для всех
22,mario party ds,ds,2007,misc,4.4,1.85,1.98,0.68,72.0,7.8,e,8.91,для всех
23,fifa 16,ps4,2015,sports,1.12,6.12,0.06,1.28,82.0,4.3,e,8.58,для всех
24,wii party,wii,2010,misc,1.75,3.47,2.49,0.67,68.0,7.4,e,8.38,для всех
25,mario party 8,wii,2007,misc,3.74,2.24,1.58,0.7,62.0,6.3,e,8.26,для всех
26,fifa soccer 13,ps3,2012,action,1.06,5.01,0.13,1.97,88.0,6.6,e,8.17,для всех
27,pokémon platinum version,ds,2008,role-playing,2.76,1.72,2.69,0.54,83.0,8.5,e,7.71,для всех
28,fifa 17,ps4,2016,sports,0.66,5.75,0.08,1.11,85.0,5.0,e,7.6000000000000005,для всех
29,super mario galaxy 2,wii,2010,platform,3.56,2.35,0.98,0.62,97.0,9.1,e,7.510000000000001,для всех
30,need for speed underground,ps2,2003,racing,3.27,2.83,0.08,1.02,85.0,8.6,e,7.199999999999999,для всех
31,crash bandicoot 3: warped,ps,1998,platform,3.68,1.75,1.42,0.28,91.0,8.9,e,7.13,для всех
32,mario kart 8,wiiu,2014,racing,3.15,2.15,1.28,0.51,88.0,9.1,e,7.09,для всех
33,need for speed underground 2,ps2,2004,racing,2.71,3.02,0.08,1.09,82.0,8.6,e,6.9,для всех
34,zumba fitness,wii,2010,sports,3.45,2.59,0.0,0.66,-1.0,-1.0,e,6.7,для всех
35,big brain academy,ds,2005,misc,1.66,2.75,1.6,0.62,74.0,7.4,e,6.63,для всех
36,fifa 14,ps3,2013,sports,0.78,4.24,0.07,1.37,86.0,4.3,e,6.460000000000001,для всех
37,donkey kong country returns,wii,2010,platform,3.17,1.79,1.03,0.46,87.0,8.6,e,6.45,для всех
38,pokémon emerald version,gba,2004,role-playing,2.57,1.58,2.06,0.21,76.0,9.0,e,6.420000000000001,для всех
39,kingdom hearts,ps2,2002,role-playing,3.64,1.2,1.49,0.07,85.0,8.8,e,6.4,для всех
40,super mario sunshine,gc,2002,platform,4.01,1.26,0.87,0.17,92.0,8.6,e,6.31,для всех
41,fifa 15,ps4,2014,sports,0.8,4.33,0.05,0.9,82.0,5.7,e,6.08,для всех
42,littlebigplanet,ps3,2008,platform,2.8,1.98,0.17,0.87,95.0,6.8,e,5.819999999999999,для всех
43,cooking mama,ds,2006,simulation,3.07,1.91,0.07,0.57,67.0,7.2,e,5.62,для всех
44,forza motorsport 3,x360,2009,racing,2.99,1.9,0.1,0.5,92.0,8.0,e,5.49,для всех
45,super mario advance,gba,2001,platform,3.14,1.24,0.91,0.2,84.0,7.8,e,5.49,для всех
46,mario kart: super circuit,gba,2001,racing,2.62,1.64,0.99,0.23,93.0,8.3,e,5.48,для всех
47,crash bandicoot: the wrath of cortex,ps2,2001,platform,2.07,2.29,0.24,0.82,66.0,7.1,e,5.42,для всех
48,madden nfl 2004,ps2,2077,sports,4.26,0.26,0.01,0.71,94.0,8.5,e,5.239999999999999,для всех
49,new super mario bros. u,wiiu,2012,platform,2.3,1.34,1.27,0.32,84.0,8.1,e,5.23,для всех
50,professor layton and the curious village,ds,2007,puzzle,1.21,2.43,1.03,0.52,85.0,8.6,e,5.1899999999999995,для всех
51,fifa soccer 13,x360,2012,action,1.09,3.47,0.03,0.57,90.0,6.1,e,5.160000000000001,для всех
52,the legend of zelda: phantom hourglass,ds,2007,action,1.85,1.8,0.95,0.48,90.0,8.0,e,5.08,для всех
53,fifa soccer 11,ps3,2010,sports,0.61,3.28,0.06,1.12,89.0,8.0,e,5.07,для всех
54,madden nfl 06,ps2,2005,sports,3.98,0.26,0.01,0.66,88.0,8.0,e,4.91,для всех
55,crash team racing,ps,1999,racing,2.57,1.57,0.44,0.21,88.0,9.0,e,4.79,для всех
56,lego star wars: the complete saga,ds,2007,action,2.83,1.48,0.0,0.45,80.0,5.4,e,4.760000000000001,для всех
57,animal crossing: city folk,wii,2008,simulation,1.82,1.12,1.32,0.36,73.0,7.6,e,4.620000000000001,для всех
58,the legend of zelda: the wind waker,gc,2002,action,2.6,0.99,0.89,0.13,96.0,8.9,e,4.609999999999999,для всех
59,luigi's mansion: dark moon,3ds,2013,action,1.8,1.39,1.11,0.29,86.0,8.4,e,4.59,для всех
60,forza motorsport 4,x360,2011,racing,2.08,1.97,0.06,0.46,91.0,8.2,e,4.569999999999999,для всех
61,madden nfl 2005,ps2,2004,sports,4.18,0.26,0.01,0.08,91.0,7.9,e,4.529999999999999,для всех
